bid_code,name,tin,po_number,po_amount,currency
101-0001-LPU18,LA MANTOVANA DE SERVICIOS GENERALES S.A.,30696051816,101-1000-OC19,"17.859.180,00",Peso Argentino
101-0001-LPU19,ZNET SOLUCIONES INFORMATICAS SRL,30709526517,101-1016-OC19,"7.699.448,00",Peso Argentino
101-0002-LPR18,SERVICIOS GLOBALES DE INFORMATICA .S.A..,30707738452,101-1010-OC18,"4.998.850,00",Peso Argentino
101-0002-LPR19,ASCENSORES TESTA S. A.,30555415520,101-1008-OC19,"1.056.000,00",Peso Argentino
101-0003-CDI19,"LA LEY SOCIEDAD ANONIMA, EDITORA E IMPRESORA",30500106316,101-1002-OC19,"249.713,00",Peso Argentino
101-0003-LPR18,external market srl,30616044210,101-1011-OC18,"1.763.424,00",Peso Argentino
101-0003-LPR19,Transportadora de Caudales Vigencia Duque S.A.,30689011817,101-1015-OC19,"2.772.000,00",Peso Argentino
101-0003-LPU18,America Broad Call S.A.,33710523679,101-1011-OC19,"7.872.000,00",Peso Argentino
101-0004-CDI19,ENYGEN SRL,30711731772,101-1005-OC19,"438.000,00",Peso Argentino
101-0004-LPR18,SERVICIOS GLOBALES DE INFORMATICA .S.A..,30707738452,101-1017-OC18,"3.167.100,00",Peso Argentino
101-0004-LPR18,ZNET SOLUCIONES INFORMATICAS SRL,30709526517,101-1018-OC18,"1.382.563,88",Peso Argentino
